entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2024-04-10 14:15:00,2024-04-10 14:30:00,SHORT,1259.9,1260.1,-54999.99999998181,1
2024-04-12 13:30:00,2024-04-12 14:30:00,LONG,1272.1,1286.7,1425000.0000000137,4
2024-04-15 10:30:00,2024-04-15 11:30:00,SHORT,1275.1,1272.7,204999.99999998635,4
2024-04-19 10:15:00,2024-04-19 11:30:00,LONG,1202.3,1194.7,-794999.9999999909,5
2024-04-22 13:15:00,2024-04-22 14:30:00,LONG,1208.3,1205.1,-355000.00000000454,5
2024-04-23 13:45:00,2024-04-23 14:30:00,SHORT,1205.0,1201.9,274999.9999999909,3
2024-04-25 13:30:00,2024-04-25 14:30:00,LONG,1229.5,1227.0,-285000.0,4
2024-05-02 14:15:00,2024-05-02 14:30:00,LONG,1240.2,1242.5,194999.99999999546,1
2024-05-07 10:45:00,2024-05-07 11:30:00,SHORT,1267.9,1268.0,-44999.999999990905,3
2024-05-07 14:15:00,2024-05-07 14:30:00,LONG,1276.2,1275.7,-85000.0,1
2024-05-10 11:00:00,2024-05-10 11:30:00,SHORT,1265.5,1264.9,24999.999999990905,2
2024-05-13 14:15:00,2024-05-13 14:30:00,SHORT,1265.6,1266.0,-75000.0000000091,1
2024-05-20 11:15:00,2024-05-20 11:30:00,SHORT,1312.7,1312.6,-24999.999999986358,1
2024-05-21 13:15:00,2024-05-21 14:15:00,SHORT,1304.6,1305.6,-135000.0,4
2024-05-23 13:45:00,2024-05-23 14:30:00,LONG,1292.8,1301.3,815000.0,3
2024-05-24 11:00:00,2024-05-24 11:30:00,SHORT,1288.6,1286.5,174999.99999999092,2
2024-05-27 13:45:00,2024-05-27 14:30:00,SHORT,1275.2,1276.2,-135000.0,3
2024-05-28 13:15:00,2024-05-28 14:30:00,LONG,1285.5,1292.5,665000.0,5
2024-05-31 14:00:00,2024-05-31 14:30:00,SHORT,1268.1,1270.0,-225000.00000000908,2
2024-06-05 14:15:00,2024-06-05 14:30:00,SHORT,1297.8,1295.0,244999.99999999546,1
2024-06-06 13:15:00,2024-06-06 14:30:00,LONG,1304.8,1298.2,-694999.9999999909,5
2024-06-07 14:15:00,2024-06-07 14:30:00,LONG,1309.4,1308.0,-175000.00000000908,1
2024-06-10 11:15:00,2024-06-10 11:30:00,SHORT,1309.4,1309.4,-35000.0,1
2024-06-13 11:15:00,2024-06-13 11:30:00,SHORT,1329.2,1329.0,-14999.999999995453,1
2024-06-13 14:00:00,2024-06-13 14:30:00,LONG,1333.9,1335.5,124999.99999999092,2
2024-06-14 13:45:00,2024-06-14 14:30:00,SHORT,1329.7,1316.5,1285000.0000000047,3
2024-06-17 11:15:00,2024-06-17 11:30:00,SHORT,1310.5,1310.5,-35000.0,1
2024-06-18 14:15:00,2024-06-18 14:30:00,SHORT,1310.3,1308.5,144999.99999999546,1
2024-06-19 14:00:00,2024-06-19 14:30:00,LONG,1321.3,1317.0,-464999.99999999546,2
2024-06-20 14:15:00,2024-06-20 14:30:00,LONG,1323.7,1323.7,-35000.0,1
2024-06-25 14:15:00,2024-06-25 14:30:00,SHORT,1286.5,1287.5,-135000.0,1
2024-06-26 10:30:00,2024-06-26 11:30:00,SHORT,1283.5,1280.7,244999.99999999546,4
2024-06-27 14:00:00,2024-06-27 14:30:00,LONG,1287.3,1289.0,135000.00000000454,2
2024-07-01 14:15:00,2024-07-01 14:30:00,LONG,1284.5,1285.0,15000.0,1
2024-07-02 10:15:00,2024-07-02 11:30:00,LONG,1290.1,1294.8,435000.00000000454,5
2024-07-03 13:15:00,2024-07-03 14:30:00,LONG,1303.2,1307.0,344999.99999999546,5
2024-07-05 13:30:00,2024-07-05 14:15:00,SHORT,1307.8,1316.2,-875000.0000000091,3
2024-07-09 13:45:00,2024-07-09 14:30:00,LONG,1318.2,1320.0,144999.99999999546,3
2024-07-10 13:30:00,2024-07-10 14:30:00,SHORT,1316.0,1309.5,615000.0,4
2024-07-11 11:00:00,2024-07-11 11:30:00,SHORT,1312.8,1312.6,-14999.999999995453,2
2024-07-12 13:15:00,2024-07-12 14:30:00,SHORT,1301.6,1300.0,124999.99999999092,5
2024-07-15 13:15:00,2024-07-15 14:30:00,SHORT,1301.3,1299.0,194999.99999999546,5
2024-07-17 13:30:00,2024-07-17 14:15:00,LONG,1312.8,1296.9,-1624999.9999999863,3
2024-07-17 14:15:00,2024-07-17 14:30:00,SHORT,1296.9,1301.6,-504999.99999998184,1
2024-07-19 11:00:00,2024-07-19 11:30:00,SHORT,1302.2,1302.5,-64999.99999999545,2
2024-07-22 14:00:00,2024-07-22 14:30:00,LONG,1298.8,1299.5,35000.00000000454,2
2024-07-23 13:30:00,2024-07-23 14:30:00,SHORT,1296.0,1284.0,1165000.0,4
